steps,x_sun,y_sun,x_earth,y_earth,x_moon,y_moon
60,0.000005454120592643660503536212,0.000013221967052940041521488269,-0.786446184567228812056782771833,-0.607729068394794569307748588471,-1.394114869555297175907071505208,1.902753547769130415545646428654
61,0.000005335542441899845555639773,0.000013559893771795287632894907,-0.746505640785692148320151773078,-0.656609803073141873319684691523,-1.431543947964826646312985758414,1.902808545970404052738444988790
62,0.000005207944359126341121377351,0.000013889920964032319403332061,-0.703567095309349133103182794002,-0.702853576664563828302334513864,-1.468554439667046018769269721815,1.902307095871468289871586421214
63,0.000005071852057788672093444245,0.000014211498024545089248222435,-0.657805571527077304061492668552,-0.746277255710992903914302587509,-1.505147225349060757793040465913,1.901264508171379041812087962171
64,0.000004927824589441911283635607,0.000014524109676672852841175509,-0.609407191269822456902716112381,-0.786709461693763989487138132972,-1.541323294891262518646612988960,1.899695481674298136454126506578
65,0.000004776451917026702598874800,0.000014827277955366538342708675,-0.558568367028450474265355296666,-0.823991231723000039366411328956,-1.577083732786542569215271214489,1.897614135967702342355778455385
66,0.000004618352375242135636034934,0.000015120564016939686951277247,-0.505494956555686769661406287923,-0.857976621463518496213396247185,-1.612429705071497965107596428425,1.895034042027648801820305379806
67,0.000004454170031182404184994395,0.000015403569769742604927270646,-0.450401384244675295764892553052,-0.888533248414159482209129237162,-1.647362447606953272938312693441,1.891968250900051717877659029909
68,0.000004284571958583943401680568,0.000015675939321186209960724833,-0.393509733729663191414971379345,-0.915542774019494909332195220486,-1.681883255563795920295433461433,1.888429320595488514200610552507
69,0.000004110245439091961759095397,0.000015937360237611638831382865,-0.335048816174823294034013088094,-0.938901323448860125608916860074,-1.715993473986495265748430938402,1.884429341324498796694797420059
70,0.000003931895103925228614248980,0.000016187564614543703241447692,-0.275253218707047775382079635165,-0.958519842224465512536824007839,-1.749694489321057311315144033870,1.879979959190580807160131371347
71,0.000003750240029201931327021771,0.000016426329955872433869965010,-0.214362337409752967687381897122,-0.974324389215223907179108664423,-1.782987721806803316226819333679,1.875092398449111463776262098690
72,0.000003566010797994339520542101,0.000016653479861469859752212685,-0.152619399229645458238024957609,-0.986256365833442782964368689136,-1.815874618642496107767669855093,1.869777482432128490330569547950
73,0.000003379946541913416805264512,0.000016868884523662883162401296,-0.090270477059519738105564101716,-0.994272681575625316696687150397,-1.848356647847140932228171550378,1.864045653231296340024414348591
74,0.000003192791974694387927192650,0.000017072461033842238755731460,-0.027563502150135130164265717667,-0.998345856334607040238893205242,-1.880435292744450981317072546517,1.857906990224356125196436551050
75,0.000003005294429868798158922167,0.000017264173501288439423195786,0.035252722124219385002596993672,-0.998464060176826651016313007858,-1.912112047007613835347683561849,1.851371227523909368528620689176
76,0.000002818200914176074965575508,0.000017444032987035359066668380,0.097929501265950999466802784355,-0.994631091524743160547927800508,-1.943388410207762984072132894653,1.844447770421446586297520298103
77,0.000002632255187896324280792974,0.000017612097256268885214812794,0.160219221696643321362074630088,-0.986866294909693464454392142216,-1.974265883815554234459455074102,1.837145710894067418550434922508
78,0.000002448194882784149626698059,0.000017768470353371326254151435,0.221876310285441746827928000130,-0.975204419664595700822928847629,-2.004745967610561230287657963345,1.829473842236317482345953067124
79,0.000002266748667758485261591785,0.000017913302004272189108446608,0.282658177981779890064473192979,-0.959695421108933133247376190411,-2.034830156457920313783915844397,1.821440672874943933479130464548
80,0.000002088633471963225300975682,0.000018046786851253559738486945,0.342326144350796113258184050210,-0.940404205940775117511520875269,-2.064519937415851824624724031310,1.813054439420116903391999585438
81,0.000001914551774264745260644826,0.000018169163525785863796697256,0.400646339992517752648382156622,-0.917410323692862239575163130212,-2.093816787141407509409418707946,1.804323119002750663852907564433
82,0.000001745188967701653860595734,0.000018280713565339531593125291,0.457390584009303990953299035027,-0.890807606232879356511489277182,-2.122722169565127714463415031787,1.795254440943953255782616906799
83,0.000001581210806855055428960270,0.000018381760180433750215614475,0.512337233868215835563830751198,-0.860703757393058377367367484112,-2.151237533808240787180920960964,1.785855897799315084029103672947
84,0.000001423260945569372675986470,0.000018472666878448383342764191,0.565272005184215275974679570936,-0.827219894902449848217429462238,-2.179364312318686103253639885224,1.776134755817686983192515981500
85,0.000001271958571928809763202642,0.000018553835950943941451082159,0.615988759124912688136532779026,-0.790490046867981410727566071728,-2.207103919204603581505352849490,1.766098064851282956055911199655
86,0.000001127896146886528853334761,0.000018625706831411298163275053,0.664290255306744126251317084098,-0.750660605109289891245794024144,-2.234457748746038863174590005656,1.755752667751341533630693447776
87,0.000000991637252455603129041380,0.000018688754330512778327509985,0.709988868214967538960991078056,-0.707889737698850218805546319345,-2.261427174067506928878401595284,1.745105209281184066583136882400
88,0.000000863714554905042791494059,0.000018743486755983925021997946,0.752907265334958775149232224067,-0.662346763094761148416012019879,-2.288013545955743133220039453590,1.734162144576295583320302284847
89,0.000000744627887962294308281733,0.000018790443924445747914293847,0.792879045329439313682939882710,-0.614211488280321460386801390996,-2.314218191808492974814726039767,1.722929747179013704183603294950
90,0.000000634842460606452947605562,0.000018830195072435460120711254,0.829749334735172094923427721369,-0.563673513343878940240472275036,-2.340042414701551276579039040371,1.711414116673520835476551837928
91,0.000000534787193644287003623818,0.000018863336674004300530082395,0.863375341783240934923071563389,-0.510931504945943082418580161175,-2.365487492562478699653638614109,1.699621185945095147573624672077
92,0.000000444853188893665486058145,0.000018890490172258851729950035,0.893626866069402225889461988118,-0.456192441129772585650670180257,-2.390554677440530184640010702424,1.687556728085961577079388007405
93,0.000000365392334455169315090835,0.000018912299632241399841622170,0.920386762915480383107080797345,-0.399670829938019445126684559000,-2.415245194863314459610137419077,1.675226362968594617797180035268
94,0.000000296716049231074334048140,0.000018929429322559661601384218,0.943551361369861951722270987375,-0.341587904302902811704001351245,-2.439560243271589268232446556794,1.662635563505941771467178114108
95,0.000000239094169549554169868134,0.000018942561233190176680661262,0.963030834895483134339144726255,-0.282170795682034181162123331887,-2.463500993524406101897739063133,1.649789661616761771156802751648
96,0.000000192753980468461828809150,0.000018952392536896329458193100,0.978749523888101102819803145394,-0.221651688917530370614983326050,-2.487068588467534979713491338771,1.636693853913083973594666531426
97,0.000000157879394064626529680352,0.000018959633001724000866440589,0.990646209257018628413504757191,-0.160266960803402774837778110850,-2.510264142558751299105779253296,1.623353207125701525015415427333
98,0.000000134610276758132955955322,0.000018965002362068025636154811,0.998674336385827032813722325955,-0.098256304856210924247861271397,-2.533088741544159638863220607163,1.609772663282588833766340030706
99,0.000000123041927473147413739637,0.000018969227655842478081011163,1.002802188873279654046655195998,-0.035861844797263099648976236722,-2.555543442180257418527844492928,1.595957044654190859489517606562
100,0.000000123224708193916936519133,0.000018973040535339234628504218,1.003013011535297094312113586057,0.026672760728286039333401191698,-2.577629271996919158027594676241,1.581911058478656650905236347171
