Open	High	Low	Close	Adj_Close	Volume
16276.4404296875	16463.177734375	15992.15234375	16317.80859375	16317.80859375	31599492172
29399.787109375	29465.11328125	29357.587890625	29415.96484375	29415.96484375	6194358008
6380.3798828125	6683.85986328125	6305.7001953125	6614.18017578125	6614.18017578125	4396930048
55847.2421875	56872.54296875	54608.65234375	56704.57421875	56704.57421875	61308396325
3901.469970703125	3916.419921875	3613.6298828125	3631.0400390625	3631.0400390625	1411480064
9316.0166015625	9553.1259765625	9230.8974609375	9508.9931640625	9508.9931640625	32378792851
19446.416015625	19515.466796875	19102.978515625	19141.484375	19141.484375	27425022774
17760.30078125	17934.69921875	16077.7001953125	16624.599609375	16624.599609375	22149699584
2679.72998046875	2897.449951171875	2679.72998046875	2809.010009765625	2809.010009765625	1380099968
67808.65625	68301.8515625	67085.828125	68255.8671875	68255.8671875	18043166945
