steps,x,y,z
108,-9.234272223886417441375623800292,-8.157246733268406077163438233786,29.251888820555780507276139469145
109,-9.122345574985914058020418503893,-7.963362881843442954095581493163,29.212130826774745947370052495000
110,-9.002993184731034982155086969285,-7.777558036823127174145184928571,29.147218511620507116276995086034
111,-8.877791837652867616756298531950,-7.601883026763918201646897455275,29.058550022451799628159716981267
112,-8.748350260933953835032329978029,-7.438113799550993696984713421415,28.947773998624454685722492961369
113,-8.616279329517072444599344542699,-7.287740909539254155056303307959,28.816736424812777189548968429872
114,-8.483164625894722244945957310054,-7.151969541564083603466851148849,28.667429212281174582748264766852
115,-8.350542065224913457233462212150,-7.031728607258563104589021812598,28.501942378338139613225706239797
116,-8.219877074728005578744764314664,-6.927687172181638676066379589865,28.322421198058643947537072885869
117,-8.092547597108067817416368597853,-6.840276352874261901410374612798,28.131029204430510731848117427455
118,-7.969830984859362487554457570327,-6.769714840592458139995853806083,27.929917452735731688132563051128
119,-7.852894675906416651786509644003,-6.716036334431427660226244616090,27.721200069548488577643131840426
120,-7.742790397338234289399002910701,-6.679117368906157827829135326242,27.506935791358932818631270729345
121,-7.640451535662985946218192033154,-6.658704268654466056297449192853,27.289114966847126346076565751586
122,-7.546693238607123829579256923551,-6.654438228367270705504161109013,27.069651346062432827543761339413
123,-7.462214772275864201462298852245,-6.665877777350783673940255282272,26.850377899197865308326325466594
124,-7.387603644204954749362432354637,-6.692518129377048655710898587239,26.633045884007821033951743464592
125,-7.323341012372440765405382008054,-6.733807129652662730269463665260,26.419326399842055382157375047658
126,-7.269807927296029746019962394850,-6.789157686947192256011524024942,26.210813713971103170747120845594
127,-7.227291993857668056447058864745,-6.857956719420575756863901981981,26.009029710237086756416207661885
128,-7.195994086978541322606710165165,-6.939570749760618887926480118532,25.815428881218730176531470491460
129,-7.176034806971828669211761986541,-7.033348363192120651813993506892,25.631403355651749144429956893091
130,-7.167460413411493165651863851283,-7.138619796196533786647851895320,25.458287517781418698934086729273
131,-7.170248028580135313427623745677,-7.254693960287697686566547002706,25.297361831769272958874949992159
132,-7.184309951666007573430135800756,-7.380853229772016505818036526402,25.149855531176606788371854825213
133,-7.209496972202804461003677168393,-7.516346340517389603729648378490,25.016947871338110110795844089238
134,-7.245600615670933445865160841145,-7.660379763154727552295653976235,24.899767672741172878485550047272
135,-7.292354296019721926511901784718,-7.812107932825320991198316566016,24.799390908897767213032367274903
136,-7.349433389746297135283544065429,-7.970622741632591632872573457484,24.716836115930733618863702658203
137,-7.416454284882563457911954779375,-8.134942731397636150243531738502,24.653057427067246326807283568147
138,-7.492972496663962973527303648196,-8.304002464050098011464812514930,24.608935067750301239413757553627
139,-7.578479980591386903859754747771,-8.476642594617523447593814270431,24.585263190745463285428982273280
140,-7.672401813676246980784797863266,-8.651601225458736620740752908340,24.582734990136093439412033328010
141,-7.774092456190469165416945468719,-8.827507176630331789125151284403,24.601925113001695984022419052484
142,-7.882831849091974526145941720808,-9.002875860779323511971958268961,24.643269491858871209605779575036
143,-7.997821645741962584245421228332,-9.176108494495138256340498268724,24.707042852569320822551767909468
144,-8.118181919140578249000037941618,-9.345495402491390526592771829623,24.793334312655913178857938659823
145,-8.242948725431219279422284341873,-9.509224165475272581944610730609,24.902021672631858770053184572708
146,-8.371072937727647152119310364974,-9.665393315037662168728990871298,25.032745213550813576231544458203
147,-8.501420787393752349528921070488,-9.812032176945450800127267778799,25.184882038897605765675238493554
148,-8.632776557978420872050874438633,-9.947127296367077739229851180977,25.357522224708445099081056063572
149,-8.763847864779679227377651293696,-10.068655636025770654231027544798,25.549448249827405872639046309383
150,-8.893273915068052939650410505519,-10.174624417075156949007948803113,25.759119344949210670456199860808
