index,base,input,MPFR,Posit64,Double,winner
51,0.80692,0.430778,0.911726660263362724,-1.167353080624563872,0.911726660263362687,Double
52,0.077884,0.600078,0.216163554601876440,0.004273332077076677,0.216163554601876445,Double
53,0.527361,0.117814,0.927385804846224881,nar,0.927385804846224904,Double
54,0.433763,0.479956,0.669726242568371583,-49001.2821921951331205,0.669726242568371544,Double
55,0.946446,0.115878,0.993642254548813050,nar,0.993642254548813053,Double
56,0.4386,0.878416,0.484827327206786080,6.124928722652822898,0.484827327206786063,Double
57,0.349984,0.546243,0.563558945166103635,nar,0.563558945166103609,Double
58,0.328156,0.00123762,0.998621909131810692,nar,0.998621909131810703,Double
59,0.557052,0.0105177,0.993865018136798985,nar,0.993865018136798950,Double
60,0.899957,0.680365,0.930794821725866683,-0.080569820540973409,0.930794821725866695,Double
61,0.305916,0.528202,0.534926267577284628,401.886523757569147364,0.534926267577284675,Double
62,0.819389,0.718663,0.866619531460389840,-148.566311692019531687,0.866619531460389836,Double
63,0.11793,0.623263,0.263861913614315606,nar,0.263861913614315602,Double
64,0.757625,0.373572,0.901503601236930574,-0.277030835283694517,0.901503601236930519,Double
65,0.547376,0.67796,0.664611954509109506,nar,0.664611954509109482,Double
66,0.693035,0.577961,0.809026286154026738,nar,0.809026286154026719,Double
67,0.221174,0.596803,0.406382442892048854,nar,0.406382442892048834,Double
68,0.457683,0.812982,0.529718355741203269,nar,0.529718355741203295,Double
69,0.530354,0.394454,0.778670679008829650,nar,0.778670679008829691,Double
70,0.697493,0.216265,0.925045762126524501,nar,0.925045762126524451,Double
71,0.0709334,0.849026,0.105765120875289417,0.189305146385288132,0.105765120875289415,Double
72,0.96063,0.992191,0.960931315147142964,-7.140817145616937700,0.960931315147142917,Double
73,0.123204,0.864555,0.163604129731108021,nar,0.163604129731108022,Double
74,0.577209,0.780342,0.651265382871135220,-21.113428206442256540,0.651265382871135223,Double
75,0.481781,0.716402,0.592642299749239060,nar,0.592642299749239099,Double
76,0.904761,0.307676,0.969675599167739721,-26.378657194408275499,0.969675599167739710,Double
77,0.545249,0.916217,0.573672564881704797,nar,0.573672564881704816,Double
78,0.580646,0.170055,0.911699851257432432,-1108.46559001981876946,0.911699851257432470,Double
79,0.212813,0.61119,0.388399746870748783,nar,0.388399746870748797,Double
80,0.858881,0.91294,0.870331614101074531,-0.113875927473738772,0.870331614101074513,Double
81,0.438881,0.366375,0.739545456743635982,-0.000681808684634727,0.739545456743636032,Double
82,0.808042,0.341492,0.929799850789052929,-0.187607702959237551,0.929799850789052917,Double
83,0.073815,0.43034,0.325774695435277385,nar,0.325774695435277373,Double
84,0.0683487,0.40866,0.334041511534034080,-0.753422600159752788,0.334041511534034052,Double
85,0.150447,0.497093,0.390016406789792884,nar,0.390016406789792880,Double
86,0.163394,0.120986,0.803179835156801323,nar,0.803179835156801358,Double
87,0.252569,0.849986,0.310478720113754896,0.142410704084301996,0.310478720113754880,Double
88,0.652526,0.889051,0.684176513076673048,-0.029789756542983175,0.684176513076673043,Double
89,0.853561,0.842277,0.875146251366076605,nar,0.875146251366076600,Double
90,0.201632,0.487452,0.458148141083957504,nar,0.458148141083957516,Double
91,0.754569,0.941394,0.767125644725032377,-1.093235792613876005,0.767125644725032418,Double
92,0.77858,0.689614,0.841474999030879295,-0.001215977159118929,0.841474999030879300,Double
93,0.655255,0.985383,0.659316549433197316,-4079.3669109305755569,0.659316549433197285,Double
94,0.79389,0.977574,0.798009541912198915,7.884538481916426325,0.798009541912198861,Double
95,0.739055,0.450352,0.872686733012726318,nar,0.872686733012726368,Double
96,0.988985,0.493833,0.994545012951063799,-242.294255134252425332,0.994545012951063789,Double
97,0.956686,0.55919,0.975542800869200082,nar,0.975542800869200089,Double
98,0.785361,0.503734,0.885406933940526091,-1.165640811228666057,0.885406933940526053,Double
99,0.72055,0.0161895,0.994708087471320601,0.169642117030369610,0.994708087471320557,Double
100,0.298953,0.445276,0.584114980625884078,nar,0.584114980625884073,Double
