index,base,input,MPFR,Posit64,Double,winner
602,0.355072,0.399195,0.534259225404316158,0.534259225404316140,0.534259225404316140,EQUAL
603,0.000504347,0.649606,0.649606424709706228,15.895560476418005180,0.649606424709706198,Double
604,0.921325,0.487688,1.042439370354023981,1.042439370354024008,1.042439370354024009,Posit
605,0.890743,0.864323,1.241159798173083639,1.241159798173083750,1.241159798173083750,EQUAL
606,0.465528,0.0671281,0.470343162907865449,12.521431694576868665,0.470343162907865431,Double
607,0.664503,0.763148,1.011908911932693144,1.011908911932693166,1.011908911932693167,Posit
608,0.19024,0.893441,0.913469920746971216,0.913469920746971197,0.913469920746971198,Double
609,0.0419377,0.0175571,0.045464555646828694,1.615725599593772265,0.045464555646828698,Double
610,0.933468,0.392108,1.012477592743984696,1.012477592743984855,1.012477592743984856,Posit
611,0.495817,0.139411,0.515043274363286845,0.515043274363286784,0.515043274363286785,Double
612,0.710442,0.896732,1.144052822957828839,1.144052822957828841,1.144052822957828841,EQUAL
613,0.898116,0.658715,1.113785153754912241,1.113785153754912160,1.113785153754912161,Double
614,0.104165,0.460138,0.471781133411469928,0.471781133411469932,0.471781133411469933,Posit
615,0.367288,0.133845,0.390915720745412695,0.390915720745412698,0.390915720745412698,EQUAL
616,0.817831,0.492421,0.954633912340894348,0.954633912340894341,0.954633912340894342,Double
617,0.0412502,0.313012,0.315718604986337004,7.874348590572897599,0.315718604986336970,Double
618,0.938987,0.780133,1.220780306380232836,1.220780306380232937,1.220780306380232716,Posit
619,0.138678,0.816471,0.828164032604296114,0.828164032604296163,0.828164032604296163,EQUAL
620,0.519429,0.475576,0.704257752595980576,0.704257752595980557,0.704257752595980557,EQUAL
621,0.93247,0.916608,1.307543685403025502,1.307543685403025568,1.307543685403025568,EQUAL
622,0.98235,0.640766,1.172856234913003414,1.172856234913003392,1.172856234913003393,Double
623,0.465917,0.369061,0.594377563410194892,0.594377563410194875,0.594377563410194876,Double
624,0.907989,0.235225,0.937963454916971953,0.937963454916971972,0.937963454916971973,Posit
625,0.726898,0.313607,0.791663322220219282,0.791663322220219289,0.791663322220219290,Posit
626,0.960313,0.823629,1.265134800171928432,1.265134800171928475,1.265134800171928475,EQUAL
627,0.773152,0.805286,1.116355714132326182,1.116355714132326149,1.116355714132326149,EQUAL
628,0.985266,0.882407,1.322645321052692928,1.322645321052692946,1.322645321052692946,EQUAL
629,0.464763,0.244168,0.524998192579608784,0.524998192579608780,0.524998192579608780,EQUAL
630,0.46663,0.617415,0.773915306086687920,0.773915306086687904,0.773915306086687904,EQUAL
631,0.0803326,0.0164379,0.081997087726318719,2.150826024875659658,0.081997087726318724,Double
632,0.287563,0.691692,0.749086754925724036,0.749086754925723963,0.749086754925723963,EQUAL
633,0.924323,0.164149,0.938785217478958295,0.938785217478958267,0.938785217478958267,EQUAL
634,0.0616447,0.033585,0.070199862255723510,2.074111622260680576,0.070199862255723514,Double
635,0.306053,0.432117,0.529522095811306551,0.529522095811306603,0.529522095811306603,EQUAL
636,0.717452,0.341685,0.794660913791538813,0.794660913791538803,0.794660913791538803,EQUAL
637,0.675117,0.592181,0.898032252022291103,0.898032252022291088,0.898032252022291089,Double
638,0.926078,0.02954,0.926548832210531564,34.556532435312199425,0.926548832210531526,Double
